name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Piera Rodriguez,La Fiera,Orthodox,21,54.78,67.82,74.01,55.7,84.11,9.8,25.0,60.68,10,2,0,10,2,0,5,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1992/11/11,39.19,3.92,68.3,14.64,65.0,80.9,87.31,20.74,50.99,34.75,65.98,0.0,0.0,0.0,79.99,66.67
Marina Rodriguez,,Orthodox,22,54.5,75.05,34.02,60.3,69.9,44.73,46.42,9.48,17,6,2,17,6,2,15,0,8.0,3.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1987/04/29,55.86,35.99,63.41,29.27,60.01,74.99,5.8,5.19,49.99,18.46,60.99,7.15,8.33,0.0,100.0,42.22
Randa Markos,Quiet Storm,Orthodox,23,53.99,61.9,65.26,61.36,70.34,24.32,35.71,44.47,11,12,1,11,12,1,18,0,Unranked,6.0,"[""women's strawweight""]",women's strawweight,1985/08/10,32.73,20.12,56.1,0.0,67.51,73.61,24.08,43.7,28.01,91.65,52.0,21.44,5.55,19.99,60.0,41.98
Alexia Thainara,Burguesinha,Orthodox,24,53.91,65.45,74.63,0.0,100.0,3.21,100.0,46.19,12,1,0,12,1,0,1,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1995/11/20,74.17,0.83,48.79,0.0,97.5,77.95,66.01,0.74,100.0,5.3,0.0,0.0,,19.99,100.0,100.0
Aisling Daly,Ais the Bash,Orthodox,25,53.53,65.7,50.91,68.18,82.07,11.31,62.5,95.55,16,6,0,16,6,0,3,0,Unranked,9.0,"[""women's strawweight""]",women's strawweight,1987/12/24,31.99,2.62,78.05,0.0,60.01,100.0,46.24,8.89,41.0,32.83,33.0,7.15,25.0,19.99,100.0,70.37
Fatima Kline,The Archangel,Orthodox,26,53.51,69.68,43.6,58.09,85.51,6.5,100.0,34.49,8,1,0,8,1,0,3,0,Unranked,Unranked,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,2000/07/12,47.29,3.27,70.74,14.64,70.01,86.2,26.02,3.7,60.0,11.87,49.99,0.0,0.0,0.0,100.0,70.37
Michelle Waterson-Gomez,The Karate Hottie,Orthodox,27,53.26,66.0,59.18,66.1,60.16,24.7,50.0,30.54,18,13,0,18,13,0,15,0,Unranked,6.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1986/01/06,39.49,35.99,63.41,0.0,42.51,55.74,29.89,46.67,33.0,61.79,68.99,0.0,16.66,40.0,60.0,31.11
Paige VanZant,12 Gauge,Orthodox,28,53.2,70.2,49.09,69.99,55.85,21.21,85.0,44.33,8,5,0,8,5,0,9,0,Unranked,6.0,"[""women's flyweight"", ""women's strawweight""]",women's strawweight,1994/03/26,38.44,5.92,78.05,14.64,27.5,81.06,27.31,17.78,33.0,52.45,34.0,42.86,27.77,40.0,40.0,34.57
Karolina Kowalkiewicz,,Orthodox,29,52.31,69.31,31.03,59.93,70.35,46.47,33.34,18.52,16,9,0,16,9,0,18,0,Unranked,2.0,"[""women's strawweight""]",women's strawweight,1985/10/15,71.31,34.17,56.1,0.0,65.0,36.19,6.68,16.3,22.01,39.59,74.0,7.15,5.55,19.99,60.0,42.59
Nina Nunes,,Orthodox,30,50.25,68.75,27.05,63.08,75.66,33.22,40.0,21.89,11,7,0,11,7,0,9,0,11.0,3.0,"[""women's strawweight"", ""women's flyweight""]",women's strawweight,1985/12/03,54.05,48.14,60.98,0.0,60.01,67.85,5.16,4.44,33.0,22.55,72.98,0.0,13.89,19.99,79.99,51.86
Kailin Curran,,Orthodox,31,49.75,63.42,63.71,63.35,46.17,3.5,100.0,58.8,4,5,0,4,5,0,7,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1991/04/11,46.55,10.32,56.1,0.0,55.0,47.98,43.01,14.07,56.99,47.14,60.99,21.44,16.66,19.99,60.0,0.0
Felice Herrig,Lil Bulldog,Orthodox,32,49.66,60.74,42.43,71.39,64.37,21.25,55.0,38.04,14,10,0,14,10,0,10,0,Unranked,8.0,"[""women's strawweight""]",women's strawweight,1984/09/18,45.81,22.68,41.46,0.0,42.51,41.15,23.23,20.74,28.01,43.57,74.99,42.86,22.22,40.0,60.0,40.0
