name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
BJ Penn,The Prodigy,Orthodox,15,65.84,80.67,57.15,73.75,65.19,49.24,94.19,17.11,16,14,2,16,14,2,27,5,Unranked,Unranked,"['lightweight', 'featherweight', 'welterweight']",lightweight,1978/12/13,30.31,27.99,59.99,53.95,56.0,76.81,14.02,25.27,55.01,46.17,74.0,33.17,10.51,43.47,82.77,36.21
Donald Cerrone,Cowboy,Orthodox,16,65.69,97.69,43.42,83.31,69.51,44.06,78.77,9.21,36,17,0,36,17,0,38,0,Unranked,2.0,"['welterweight', 'lightweight']",lightweight,1983/03/29,48.45,84.69,57.5,100.0,52.99,67.53,13.67,46.61,33.0,30.67,73.02,42.65,25.23,65.21,82.77,48.83
Kevin Lee,The Motown Phenom,Orthodox,17,65.16,74.03,80.68,65.55,66.33,38.2,74.63,40.85,18,8,0,18,8,0,19,0,Unranked,4.0,"['welterweight', 'lightweight', 'interim lightweight']",lightweight,1992/09/04,42.64,75.52,52.49,7.7,50.0,73.9,37.47,59.54,42.99,71.09,75.01,14.22,16.82,43.47,31.09,42.1
Clay Guida,The Carpenter,Orthodox,18,65.1,77.43,98.65,67.67,64.49,25.11,50.38,43.58,38,22,0,38,22,0,37,0,Unranked,7.0,"['lightweight', 'featherweight']",lightweight,1981/12/08,28.89,77.68,41.24,46.25,61.0,78.26,36.51,100.0,35.0,100.0,66.01,56.87,12.6,54.34,0.0,33.33
Nik Lentz,The Carny,Orthodox,19,64.65,76.83,87.27,73.87,69.86,27.59,48.17,41.45,30,12,2,30,12,2,25,0,Unranked,7.0,"['catch weight', 'lightweight', 'featherweight']",lightweight,1984/08/13,37.79,80.39,58.74,15.41,50.0,76.44,38.87,100.0,32.0,78.39,43.01,66.34,25.23,21.73,82.77,55.11
Sean Sherk,The Muscle Shark,Orthodox,20,64.16,63.12,86.25,65.0,73.66,42.13,40.7,63.95,36,4,1,36,4,1,12,2,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1973/08/05,23.84,26.0,43.75,0.0,55.0,80.36,48.17,63.47,45.99,69.35,56.01,14.22,8.41,10.85,100.0,57.41
Anthony Pettis,Showtime,Orthodox,21,63.96,75.6,37.04,74.09,67.19,69.35,74.63,11.77,24,10,0,24,10,0,20,2,5.0,0.0,"['welterweight', 'lightweight', 'featherweight', 'interim featherweight']",lightweight,1987/01/27,33.51,25.72,58.74,30.82,54.0,75.07,7.2,11.23,50.01,21.38,60.02,14.22,23.13,43.47,82.77,44.44
Arman Tsarukyan,Ahalkalakets,Orthodox,22,63.18,75.62,62.56,59.07,87.82,38.73,54.27,47.91,22,3,0,22,3,0,11,0,13.0,1.0,['lightweight'],lightweight,1996/10/11,41.64,25.04,59.99,23.13,52.99,86.67,38.28,45.5,37.0,44.71,75.01,0.0,0.0,0.0,100.0,83.83
Mateusz Gamrot,Gamer,Southpaw,23,63.03,72.0,71.8,62.42,86.06,29.98,58.14,36.0,25,3,0,25,3,0,11,0,Unranked,5.0,['lightweight'],lightweight,1990/12/11,36.81,21.55,63.75,7.7,59.0,77.97,62.78,74.69,36.0,33.59,90.0,0.0,2.1,10.85,100.0,75.76
Kenny Florian,KenFlo,Southpaw,24,62.69,65.99,51.04,86.64,79.95,35.18,88.37,24.72,14,6,0,14,6,0,17,0,Unranked,Unranked,"['featherweight', 'lightweight', 'welterweight', 'ultimate fighter 1 middleweight tournament']",lightweight,1976/05/26,26.48,13.0,50.0,7.7,63.0,86.6,26.16,45.5,33.0,35.54,60.02,42.65,27.34,76.07,82.77,64.71
